Full Name,Phone Number,Seat Info,Payment Date,Ticket Number,Show Identifier
michael belayneh,911064533,A2,2020-04-24,4533,1
dagnachew alemu,923647367,A1,2020-03-05,4534,1
yeneneh fantahun,936230201,B3,2020-03-06,4535,1
diriba kumsa,948813035,B5,2020-03-07,4536,1
hagos silas,961395869,A3,2020-03-08,4537,1
tirhas samson,973978703,A5,2020-03-09,4538,1
dinkineh yeneneh,986561537,B2,2020-03-04,4539,1
meron alemu,988144371,A4,2020-03-05,4540,1
bethel girma,911727205,B4,2020-03-06,4541,2
tirsit firew,987310039,B7,2020-03-07,4542,2
senedu mengistu,949892873,C6,2020-03-08,4543,2
samson girma,912475707,A6,2020-03-09,4544,2
rediate asrat,975058541,D6,2020-03-04,4545,2
nahom dereje,937641375,F3,2020-03-05,4546,2
mikiyas daresema,900224209,G2,2020-03-06,4547,2
lamek sntayehu,962807043,G1,2020-03-07,4548,2
nebyu ezra,925389877,G3,2020-03-08,4549,2
lukman asefa,987972711,G4,2020-03-09,4550,2
yonas million,950555545,G5,2020-03-04,4551,2
dereje admassu,913138379,G6,2020-03-05,4552,2
aweke kasa,936435498.7,F6,2020-03-06,4553,2
mebrate zerihun,934732618.4,F5,2020-03-07,4554,2
yohannes million,933029738.1,F4,2020-03-08,4555,2
kalab samson,931326857.9,F2,2020-03-09,4556,2
yohannes temesgen,929623977.6,F1,2020-03-04,4557,3
amensiyans temesgen,936254430.6,E6,2020-03-05,4558,3
mikiyas ejgu,938122978.9,E3,2020-03-06,4559,3
nahom getahun,939991527.2,E4,2020-03-07,4560,3
nathnael legese,941860075.5,E1,2020-03-08,4561,3
nathnael ketema,943728623.8,E5,2020-03-09,4562,3
eyosyas yohannes,945597172,E2,2020-03-04,4563,3
minas alemayehu,947465720.3,H5,2020-03-05,4564,3
yshak abrham,949334268.6,H2,2020-03-06,4565,3
temesgen admassu,951202816.9,H6,2020-03-07,4566,3
bekele grima,953071365.2,H4,2020-03-08,4567,3
grum ermiyas,954939913.5,H1,2020-03-09,4568,3
amanuel abebe,956808461.8,H3,2020-03-04,4569,3
kasech tilahun,958677010,I6,2020-03-05,4570,3
elsa dereje,960545558.3,I3,2020-03-06,4571,3
shalom zeray ,962414106.6,J6,2020-03-07,4572,3
